file,status,x1,y1,x2,y2
.\image_00001_1.png,success,346.52,248.91,663.77,667.5
.\image_00002_1.png,success,341.18,241.57,677.52,698.74
.\image_00003_0.png,success,359.36,255.81,657.06,653.2
.\image_00004_0.png,success,356.96,259.6,667.88,675.66
.\image_00005_1.png,success,322.61,235.06,673.5,727.11
.\image_00006_1.png,success,327.95,302.75,691.49,756.45
.\image_00007_1.png,success,377.82,241.88,684.64,670.72
.\image_00008_1.png,success,354.53,220.28,653.6,621.55
.\image_00009_1.png,success,353.86,221.15,661.69,624.98
.\image_00010_1.png,success,332.03,208.09,650.47,602.87
.\image_00011_0.png,success,351.79,215.62,672.27,639.8
.\image_00012_1.png,success,337.86,220.38,655.39,638.52
.\image_00013_1.png,success,345.77,223.47,659.71,636.88
.\image_00014_1.png,success,324.94,221.38,643.13,628.12
.\image_00015_1.png,success,379.75,211.03,735.33,695.66
.\image_00016_1.png,success,400.75,194.89,736.47,683.34
.\image_00017_1.png,success,400.69,218.4,737.84,670.87
.\image_00018_0.png,success,383.02,213.01,739.22,676.69
.\image_00019_1.png,success,392.07,213.83,733.92,666.84
.\image_00020_1.png,success,385.48,197.78,740.09,677.41
.\image_00021_1.png,success,378.89,193.47,747.83,681.47
.\image_00022_1.png,success,414.04,240.28,733.69,678.72
.\image_00023_1.png,success,394.97,200.33,738.85,683.02
.\image_00024_1.png,success,385.1,200.3,717.87,658.59
.\image_00025_0.png,success,390.93,191.68,719.71,666.51
.\image_00026_1.png,success,393.5,198.78,736.64,663.47
.\image_00027_1.png,success,394.05,185.93,743.57,679.27
.\image_00028_1.png,success,384.42,193.09,726.09,686.75
.\image_00029_1.png,success,360.35,186.76,714.74,694.5
.\image_00030_0.png,success,404.41,198.17,738.06,684.49
.\image_00031_1.png,success,385.27,173.67,742.3,685.2
.\image_00032_1.png,success,379.27,225.19,718.15,690.23
.\image_00033_1.png,success,371.39,175.97,727.5,695.45
.\image_00034_1.png,success,384.19,198.98,720.33,666.41
.\image_00035_1.png,success,393.18,176.38,708.42,670.93
.\image_00036_1.png,success,396.89,236.91,729.08,681.04
.\image_00037_1.png,success,402.35,203.71,742.9,668.01
.\image_00038_1.png,success,320.39,240.46,624.58,626.92
.\image_00039_1.png,success,339.21,251.48,632.2,635.99
.\image_00040_1.png,success,338.75,229.43,637.85,649.71
.\image_00041_0.png,success,326.1,246.11,618.23,629.63
.\image_00042_1.png,success,323.18,246.1,628.66,634.55
.\image_00043_1.png,success,326.16,229.07,643.26,648.2
.\image_00044_1.png,success,322.78,251.54,619.17,644.93
.\image_00045_0.png,success,339.77,245.58,619.04,630.44
.\image_00046_1.png,success,334.07,239.68,627.79,642.41
.\image_00047_1.png,success,331.24,232.01,643.02,626.19
.\image_00048_1.png,success,335.84,234.81,638.76,649.28
.\image_00049_1.png,success,343.69,248.0,618.27,635.25
.\image_00050_0.png,success,320.4,241.49,615.86,625.81
.\image_00051_1.png,success,319.18,234.94,622.64,631.04
.\image_00052_1.png,success,329.47,210.83,635.52,642.82
.\image_00053_1.png,success,318.14,230.55,631.77,655.96
.\image_00054_1.png,success,316.73,225.17,638.5,642.12
.\image_00055_1.png,success,281.28,99.31,747.38,692.0
.\image_00056_1.png,success,302.21,137.51,714.11,687.11
.\image_00057_1.png,success,283.72,119.25,739.6,707.71
.\image_00058_1.png,success,276.64,59.54,758.67,682.89
.\image_00059_1.png,success,285.6,111.39,730.03,677.67
.\image_00060_0.png,success,285.34,105.82,755.61,687.09
.\image_00061_0.png,success,258.64,80.64,750.11,720.99
.\image_00062_0.png,success,298.22,110.09,778.68,723.0
.\image_00063_1.png,success,304.41,179.31,736.04,708.46
.\image_00064_1.png,success,311.62,127.28,714.75,688.68
.\image_00065_1.png,success,285.03,126.2,723.25,695.41
.\image_00066_0.png,success,287.89,152.51,695.4,678.13
.\image_00067_1.png,success,272.8,107.04,731.62,684.91
.\image_00068_1.png,success,278.47,80.14,727.53,710.01
.\image_00069_1.png,success,286.91,114.84,726.6,682.22
.\image_00070_1.png,success,276.53,116.26,730.45,703.51
.\image_00071_1.png,success,294.95,116.28,728.12,679.96
.\image_00072_1.png,success,274.62,109.8,713.94,694.9
.\image_00073_1.png,success,277.91,94.41,726.74,693.77
.\image_00074_0.png,success,297.01,106.93,742.34,680.74
.\image_00075_1.png,success,274.2,139.67,719.96,725.94
.\image_00076_1.png,success,275.93,98.79,724.44,684.18
.\image_00077_1.png,success,343.39,190.78,637.28,584.23
.\image_00078_1.png,success,329.68,184.77,622.05,577.86
.\image_00079_1.png,success,341.12,193.5,617.37,567.76
.\image_00080_1.png,success,343.28,205.53,637.17,583.13
.\image_00081_1.png,success,349.32,198.55,618.58,575.53
.\image_00082_1.png,success,338.49,211.19,630.92,564.62
.\image_00083_1.png,success,341.66,195.66,613.6,554.24
.\image_00084_1.png,success,339.95,223.47,617.8,555.1
.\image_00085_1.png,success,363.11,206.07,620.73,552.51
.\image_00086_1.png,success,325.3,180.41,615.18,578.05
.\image_00087_0.png,success,344.22,191.39,617.44,563.58
.\image_00088_1.png,success,346.2,202.57,618.18,565.62
.\image_00089_1.png,success,335.9,199.81,619.21,556.3
.\image_00090_1.png,success,320.35,151.23,615.33,554.6
.\image_00091_1.png,success,341.39,186.26,619.58,560.65
.\image_00092_1.png,success,337.64,182.17,616.81,570.93
.\image_00093_1.png,success,343.77,197.75,641.31,584.33
.\image_00094_1.png,success,343.04,211.48,603.08,558.79
.\image_00095_1.png,success,349.3,197.7,616.72,563.05
.\image_00096_1.png,success,345.93,227.18,620.36,577.2
.\image_00097_1.png,success,333.46,172.95,627.91,570.09
.\image_00098_1.png,success,345.36,190.87,618.05,565.83
.\image_00099_1.png,success,330.18,168.59,633.92,577.46
.\image_00100_1.png,success,336.22,222.02,669.58,678.91
.\image_00101_1.png,success,344.92,247.6,654.69,661.83
.\image_00102_0.png,success,336.12,245.96,645.98,650.14
.\image_00103_1.png,success,337.82,236.25,661.27,679.72
.\image_00104_1.png,success,344.17,233.8,648.26,661.33
.\image_00105_1.png,success,336.62,245.94,670.66,675.01
.\image_00106_1.png,success,341.15,265.92,647.68,641.89
.\image_00107_1.png,success,344.4,248.99,658.5,669.17
.\image_00108_1.png,success,349.29,244.25,661.99,658.72
.\image_00109_1.png,success,330.97,241.92,661.02,711.64
.\image_00110_1.png,success,351.27,255.21,665.2,665.53
.\image_00111_0.png,success,338.01,262.22,637.36,663.64
.\image_00112_1.png,success,321.28,217.14,653.3,654.03
.\image_00113_1.png,success,341.44,249.98,649.24,664.52
.\image_00114_1.png,success,344.53,226.5,657.86,672.74
.\image_00115_1.png,success,326.58,232.04,673.95,680.08
.\image_00116_1.png,success,342.16,232.43,660.66,666.91
.\image_00117_1.png,success,341.65,269.35,651.11,650.72
.\image_00118_1.png,success,334.65,258.1,644.2,659.24
.\image_00119_1.png,success,329.85,238.17,650.81,657.26
.\image_00120_1.png,success,360.0,230.93,675.4,640.25
.\image_00121_1.png,success,371.84,233.57,673.31,625.51
.\image_00122_1.png,success,369.57,217.87,670.05,627.79
.\image_00123_1.png,success,382.37,220.01,674.72,616.14
.\image_00124_1.png,success,376.56,248.53,667.16,619.94
.\image_00125_1.png,success,378.25,231.68,667.46,623.05
.\image_00126_1.png,success,372.93,244.35,675.21,609.45
.\image_00127_1.png,success,389.17,234.15,663.49,611.39
.\image_00128_1.png,success,365.77,239.77,656.48,622.38
.\image_00129_1.png,success,377.55,246.33,659.37,620.41
.\image_00130_1.png,success,372.49,217.12,660.26,622.89
.\image_00131_1.png,success,386.82,241.73,657.93,625.18
.\image_00132_1.png,success,372.59,238.07,658.64,620.86
.\image_00133_0.png,success,379.14,236.37,677.05,631.3
.\image_00134_1.png,success,350.27,189.59,672.23,643.04
.\image_00135_1.png,success,383.31,238.89,670.31,612.6
.\image_00136_1.png,success,380.32,264.02,668.51,634.26
.\image_00137_1.png,success,367.36,238.27,661.46,600.35
.\image_00138_1.png,success,378.29,212.21,660.31,619.19
.\image_00139_1.png,success,366.14,213.92,676.79,643.98
.\image_00140_1.png,success,377.24,236.13,662.99,630.85
.\image_00141_1.png,success,371.8,244.59,673.76,629.6
.\image_00142_1.png,success,374.76,238.83,663.46,613.02
.\image_00143_1.png,success,367.29,233.34,647.36,597.79
.\image_00144_1.png,success,377.28,245.99,690.58,656.41
.\image_00145_1.png,success,384.38,226.07,693.84,671.98
.\image_00146_1.png,success,365.51,203.08,688.44,661.18
.\image_00147_1.png,success,352.09,206.61,704.89,678.02
.\image_00148_1.png,success,345.15,196.45,699.66,703.65
.\image_00149_1.png,success,374.91,226.34,691.16,653.21
.\image_00150_1.png,success,377.92,236.12,673.0,643.0
.\image_00151_0.png,success,319.62,181.08,677.65,679.25
.\image_00152_1.png,success,357.06,247.94,684.3,661.72
.\image_00153_1.png,success,371.73,218.47,695.79,663.89
.\image_00154_1.png,success,337.86,209.01,669.15,644.72
.\image_00155_1.png,success,365.99,198.26,707.68,674.11
.\image_00156_1.png,success,351.45,218.77,692.28,670.99
.\image_00157_1.png,success,354.57,221.46,679.09,652.99
.\image_00158_1.png,success,380.06,236.05,688.07,651.78
.\image_00159_1.png,success,361.06,218.06,682.86,667.08
.\image_00160_1.png,success,358.46,266.93,647.6,646.8
