file,status,x1,y1,x2,y2
.\image_00001_1.png,success,366.69,241.93,664.92,664.14
.\image_00002_0.png,success,367.33,233.44,695.14,684.01
.\image_00003_1.png,success,364.12,269.23,645.53,673.96
.\image_00004_1.png,success,357.91,260.98,647.87,663.72
.\image_00005_0.png,success,363.93,228.93,687.75,684.0
.\image_00006_0.png,success,338.72,248.61,674.2,701.94
.\image_00007_1.png,success,355.05,248.85,679.65,692.02
.\image_00008_1.png,success,372.62,238.89,681.47,677.29
.\image_00009_1.png,success,343.83,236.17,661.18,676.79
.\image_00010_1.png,success,358.33,266.78,653.89,659.23
.\image_00011_1.png,success,359.27,282.35,640.84,662.76
.\image_00012_1.png,success,359.6,246.83,663.72,665.4
.\image_00013_1.png,success,371.95,240.91,667.06,657.75
.\image_00014_1.png,success,356.84,253.22,662.26,660.38
.\image_00015_0.png,success,345.99,245.19,679.98,680.08
.\image_00016_1.png,success,355.86,250.67,660.64,677.2
.\image_00017_1.png,success,358.57,269.83,669.19,664.4
.\image_00018_1.png,success,368.05,246.05,678.9,672.04
.\image_00019_1.png,success,361.76,256.9,669.6,668.85
.\image_00020_1.png,success,380.22,291.93,654.26,651.36
.\image_00021_1.png,success,334.15,280.62,677.46,716.22
.\image_00022_1.png,success,319.25,241.77,672.14,744.05
.\image_00023_1.png,success,353.97,245.95,660.76,654.16
.\image_00024_1.png,success,315.85,245.67,681.23,770.77
.\image_00025_1.png,success,321.19,239.21,680.67,747.55
.\image_00026_1.png,success,312.25,257.57,668.45,759.09
.\image_00027_1.png,success,333.19,223.98,680.08,717.03
.\image_00028_1.png,success,333.72,250.42,671.84,705.98
.\image_00029_0.png,success,325.3,243.99,677.8,713.84
.\image_00030_0.png,success,337.55,249.87,681.11,708.69
.\image_00031_1.png,success,331.3,273.05,678.8,716.46
.\image_00032_1.png,success,360.64,259.14,673.09,680.16
.\image_00033_1.png,success,324.21,254.37,673.91,730.96
.\image_00034_1.png,success,332.28,274.76,676.6,726.61
.\image_00035_1.png,success,333.77,257.32,672.68,710.6
.\image_00036_1.png,success,332.6,267.63,686.35,770.13
.\image_00037_1.png,success,334.09,272.89,676.46,762.13
.\image_00038_1.png,success,332.55,242.02,680.66,722.59
.\image_00039_1.png,success,324.63,246.91,677.9,725.43
.\image_00040_1.png,success,329.22,249.15,681.79,731.86
.\image_00041_1.png,success,335.62,259.92,673.42,736.08
